vpop_id,resim_candidate_rank,candidate_id,seed,efast_eval_idx,parameter_block,sample_in_block,Bpbo_perml,Bpbref_perml,Cl_tdb,IL6_tiss_contribution,KBp,KBp2,KBp3,KTrp,KTrp2,KTrp3,Vpb,Vtissue,Vtissue2,Vtissue3,fTap,Trpbo_perml,Trpbref_perml,Cld_tdb,KdrugB,KdrugactT,KmBT_act,Km_tdb,Kptumor,S,Vc_tdb,Vm_tdb,Vp_tdb,Vtumor,fAICD,fBexit,fBkill,fKmTB_kill,fTa0apop,fTa0deact,fTact,fTadeact,fTaprolif,fTrapop,fa0,fapop_v24,fbio_TDB,fdrug,finj,kBapop,kBkill,kBprolif,kBtiss3exit,kTaapop,kTact,kTaexit,kTrexit,kabs_TDB,ndrugactT,nkill,tumor_burden_factor,BT_ratio_tumor_init,kBtumorprolif,kIL6prod,thalfIL6,dummy_null_1,dummy_null_2,dummy_null_3
1,29,20260504__249071__61__3311,20260504,249071,61,3311,381736.87034169695,721951.8659024766,4.078627935109832,0.0012409211584311,157.2127934702481,3.2904020602208384,111.1906366230177,61.10810552349182,0.1638119847126145,364.4295067650134,1083.3880741160165,26.111332500528867,154.43530165739736,1.733545921717003,1.6248798394393749,1092950.8823525268,582377.0634643034,24.967048816496327,4.296290154261032,88.81733856173588,0.6347540994149448,4.748945345833007,0.2002836212064381,1.1865832134355092,35.02199451853801,199.7133218708169,140.96970467312832,14.61302686873845,1.4788735880061137,0.3744894798161098,0.3638192853257261,2.3377700131605224,1.0869204747105647,0.3413211209615859,0.4294530484722604,0.0034001317070562,2.091782442185408,0.1204440403911254,0.0758881777099175,0.2711455335887314,0.1097736173467631,3.991931767532108,0.1961687878747023,0.0277768259141126,74.84507822543385,0.1109714980687655,0.0383181803805236,0.0878691880697073,1.898881690194561,0.4793195605151443,0.0823759805717565,1.225474377975744,0.9341119192177502,1.415959575505656,1.3538544664112633,5.020200269563006,0.0567402793366916,4.285453056820955,6.812218755624352,0.9729950914112668,0.5729033460887301,0.5729033460887301
2,175,20260502__114311__28__3719,20260502,114311,28,3719,620918.6742105389,300534.23050122865,4.147232748867396,0.0011524562715742,565.2716720839214,13.61497973392805,511.4782840872861,29.739346878504943,61.44849685240575,241.29696957886097,946.5299249227616,114.34679924120246,22.222875909919143,387.4699092683365,1.6560759884977283,1749162.5898751074,699501.362832498,24.80547861591773,1.6111565587581778,100.28744508248391,0.1067519020731117,5.2204413364149085,0.0834254451815785,1.141020379659152,35.54927571676677,45.54939496934966,138.3252123513342,37.51413843394258,1.038348681101492,0.6328833390105547,0.1149568853161285,5.26826728642482,1.2019966765683276,0.3785204433155799,0.3982789747840626,0.0049852921292606,2.050203818140328,0.1865246261647856,0.0584695379068862,0.7275509491478521,0.4494069305112925,2.984589175669074,0.770383306317231,0.0245216032414784,239.9378503889528,0.1146534613381684,0.0392169276281265,0.0884776813300967,4.953717560858853,0.133495464554621,0.2575114139909691,0.1380692961929923,0.8849633148295712,1.2569356999166337,0.787121261647852,12.264793422089484,0.0224138923721771,3.8590604547511385,5.189921164433384,0.6494021758521545,0.1259646758521607,0.7870974883521588
3,214,20260504__251748__62__1892,20260504,251748,62,1892,325897.9076075507,762629.6326980441,2.8662865866526244,0.0006097107403367,227.2864663940798,43.29196708409312,75.69465543737057,84.64308139688431,8.348364146610903,52.04606222396792,1217.1069581140227,70.56581388563413,1.0654543064682631,48.28230804110368,2.487252282868404,553182.8433566727,1176135.675323803,24.80884394726151,1.531866234968528,92.72677536776544,0.4611725198360503,4.899981266420221,0.2422235021168458,1.344009413589886,35.30274618735,93.9582139223606,165.0195706545001,3.214818382262287,1.216872502833317,0.946873612737048,0.182143701907111,2.2535494433564507,1.975378141276484,0.0107579806345865,0.4038978319501027,0.0047965620176264,2.03717909616382,0.1262535059775281,0.3846018959855269,0.4342422839747188,0.1534194733651689,5.007304446825329,0.2761075113099004,0.0217220302852527,126.8569746648488,0.1996178316777334,0.031819038001278,0.3138587473931153,3.368264243827069,0.146021056914325,0.4928103275933865,0.8608688850646058,0.8150070119550564,1.6967317694113482,1.1217422839747186,4.102683835845282,0.1022220558412921,6.43122163349206,5.249078362653435,0.5979842785252789,0.7120743152247206,0.7120743152247206
4,264,20260502__38939__10__2075,20260502,38939,10,2075,300544.3486449812,345983.4172833363,2.3444634252200967,0.0023278199632815,46.51232458991103,70.84783555172677,361.7737791132085,239.9287037884431,480.6678555712091,202.4903252775674,3120.093702631316,102.13585162697056,61.14245994227326,35.03436842126354,1.8682764144103856,819528.3869652757,711897.197821029,24.2867084590881,1.409890924551903,56.02285913515176,0.1416195322056547,5.025207463215257,0.1620847112534205,1.2027393344756154,36.08297128841649,153.2057535220761,162.31395100729324,75.33172674226796,1.4770944237890482,0.8439344520837406,0.5547894914813373,4.264522536159846,1.5383457641733702,0.0174642646487759,0.3855460794393036,0.0009911489440548,2.010246732613962,0.1017590523689038,0.0038614622929335,0.2334108361890379,0.200984001713423,2.299692360245729,0.3554623835249108,0.0266505146118903,74.1746043512712,0.511165859712613,0.0408067770105794,0.4079700017283206,6.247472895430224,0.5194982194077501,0.2769039226726636,0.6603342043353477,0.8740209577621922,1.275939107950566,0.6542844763109628,4.509577776366498,0.0092303754283556,1.590310876723701,12.07202368142788,0.3916139611890376,0.4931764611890392,0.6074342736890382
5,304,20260504__193571__48__1059,20260504,193571,48,1059,287077.7183240946,345112.411533393,1.744794577801225,0.0004238356005153,9.817610754652614,3.663556298289908,214.6421108309821,13.664533658804595,49.35422832639452,217.51770983324096,4743.903199612932,128.81133989311652,115.8071652462594,315.53916160483647,2.146804359101299,1334510.0215871227,820820.270542513,24.577016754779912,1.7313487463914194,71.83128206136129,0.1165907746161029,4.793738062119652,0.1212693810796696,1.0651754720940187,35.9140738195684,80.7109689598293,156.41548756576896,15.738781656625696,1.4716885318893211,0.8170590080518555,0.6810124785075596,9.246291261820286,1.6270738832779876,0.1756234065209738,0.4338344094293814,0.0026521034738247,2.0190624842700857,0.1312647257264955,0.002466065882563,0.094873819764958,0.153427270641021,1.255870244935452,0.2974990308163848,0.0234067305523503,48.575459347040905,0.2182836394041547,0.0399993567325854,0.1518252350057708,5.893472044258311,0.7666455655030326,0.9815452886928204,0.9175889726709456,0.9576466389529878,1.4528307813187924,1.07045975726496,7.728984317679067,0.0529029479647417,1.0055584202222003,7.676765615815073,0.2156730552350636,0.0828605552350494,0.4334464927350426
6,344,20260503__72427__18__2795,20260503,72427,18,2795,273663.26848947024,810931.1227288591,1.7653176874571028,0.0170222930995081,8.789526347529593,134.64783487178835,195.0126715339562,35.422461405726935,25.03078609233092,120.396291654042,3036.0673683440164,13.324730754612306,234.5959331461537,1.019594737088118,2.5964647915069787,655655.8530462951,1036951.7110454744,24.413814559243363,2.8710640835026124,76.7310281794008,0.3133871588777219,4.878580556395789,0.5060759907989967,1.0203896325935553,36.71776511504133,51.59166152458437,163.4785910638424,7.438398015410025,1.3231483033775058,0.6643665597132851,0.2869557826949774,6.614626576790046,1.2704753797179136,0.9148198259366098,0.2766432661018978,0.0039736452175805,2.0126493463872928,0.1602346231016119,0.0111816761137203,0.40996341851611,0.3024594488903359,1.4968253034360317,0.4971436470549815,0.020251977935161,147.40151763845552,0.0777294226188304,0.0401062772911772,0.1299706974478091,5.258920195673121,0.3910502530583444,0.2357107171817519,1.0420668390774477,0.8683208087032211,1.9384249297213167,0.6492212310161144,54.34107299672485,0.0064742372225815,5.993335973895491,10.569903560494424,0.4861352935161261,0.4279272064838952,0.2937524810160987
7,398,20260503__8607__3__415,20260503,8607,3,415,269760.27427301137,393892.8642987304,4.452734743066492,0.0027348344266497,2.093094886786004,378.3616040705948,210.50408692253475,51.9210288338231,415.1373465640886,79.06810815750065,663.9481611289664,15.7001087315089,2.3885394241120075,65.93981167042452,1.472085198541924,1715848.3635277927,1371213.233821656,24.545938202465784,7.154428319044213,51.31449484151533,0.2194340743298916,5.151707096034385,0.0559106107044253,1.342653087667098,35.84339999011858,149.85089478643317,167.77951188870287,3.4724884642230847,1.3246070541986288,0.3997748322255337,0.1646680976676202,4.006143200294303,1.2240923345819468,0.7625183158640726,0.6210902448245517,0.0026211332791611,2.096146150518216,0.1087703218332237,0.0268719053640047,0.3488202191677861,0.0203953684993319,4.288142829511042,0.2526568961907782,0.0277813290583223,111.42526032501348,0.1231680861677369,0.0379686416516544,0.0744812659809231,1.930764290566213,0.3745963823156975,0.0713474865416066,1.3551451818348934,0.917029668833555,1.6064367939372266,1.478328218332202,6.440412997167698,0.0812707171248376,2.0801097010267093,6.986835173757879,0.7140545941678016,0.3312420941677955,0.8494219683322476
8,560,20260504__206111__51__1311,20260504,206111,51,1311,322483.6754034974,911981.8159619636,2.230163706341417,0.0094207064004371,19.358618812528498,78.26132772854889,218.6401697985225,31.591588971079016,21.12792357857472,134.46282652380967,2032.184023680268,19.66229842956804,278.392288533892,3.016828206692642,3.458776466526861,537153.0397918184,1533764.479637979,24.231647435005808,5.235326966859986,66.03666724453085,0.2991107829628598,5.059702600217699,0.1816372685038157,1.1808814822317135,35.54224537281888,122.57421683280836,121.3392753381328,25.60434445712378,1.026181516139591,0.829620017388191,0.1183852118293565,9.038782905385546,1.203060224422782,0.5672055161425894,0.392428346421991,0.0039596845971035,2.047830077166405,0.1665960356920706,0.0484317157186458,0.5399837944207153,0.4219081608475653,2.154326172038352,0.6747716543812984,0.0228803066942071,213.88144118028,0.0766840001866248,0.0401077904886278,0.0658099754522676,6.122643828509047,0.1484983910821481,0.0504796716448138,0.9337116871890012,0.8431751161158569,1.553354427283847,0.8418521430792938,13.86648402263708,0.0701743058368927,2.144071633316469,33.00249019698682,0.1630306694206971,0.7197818305793028,0.0370541069207061
9,573,20260502__84156__21__2236,20260502,84156,21,2236,294886.89109798736,583459.2907934475,3.100579342725424,0.0007585918357626,814.7753178232235,6.157833731464794,206.9058328412564,94.49362404557932,0.0496892234307359,330.60265094535674,225.1725354365481,24.85692794005666,124.83150985002466,1.5954587630325463,2.6949936567604635,1032291.760611232,756653.0868295685,24.975663817079223,1.7637910668135008,96.57361372920808,0.2416731782437862,5.3247227429820985,0.0746559777691638,1.382236093425674,35.55881500925575,107.6613013906072,158.34477674286882,1.3187571950464745,1.3929039320189012,0.5100103466298265,0.2201898343889268,6.845818669119108,1.106950817623093,0.1414041341767632,0.5379041763639973,0.0013453339803209,2.105950767882803,0.1178687110185814,0.0420890638111889,0.6264410164358146,0.0624166401385124,5.563560003422545,0.2206613001224395,0.0247805117106418,85.29417873641681,0.0541619820539249,0.038368426162956,0.146803020572605,2.0448130520559893,0.7539261522536607,0.0683409608871161,0.96184976448986,0.9164991407871632,1.2598210355391983,1.4697503898141837,7.469450666523262,0.0782994725346275,5.65092071851885,6.330535436112235,0.8960199210641906,0.3735113289358164,0.4482660148141905
10,638,20260502__31776__8__3104,20260502,31776,8,3104,742722.2594610667,878480.532998295,2.69431626415656,0.0014898505776657,7.701153227780935,14.79545312944937,525.6918369290529,21.65313273355295,82.01195518713635,76.59947065788674,54.52578931779851,48.99057237651453,63.62820039543202,64.55785011219284,2.074422569702612,563869.722879766,666936.4872091622,24.87055412204152,9.313883230149116,81.92386030616744,0.1726924484579353,5.091515757425519,0.2104662518965503,1.3535944931426438,36.35794861948476,26.85234699060055,110.35341772284713,18.2525862488352,1.3736227094577622,0.6527018538132976,0.3096847549617973,1.3973675126673757,1.2714660755941156,0.510392851029893,0.9676403117984046,0.001700204601783,2.023208400057802,0.1417283298393377,0.0390864168829519,0.8253924828566017,0.4225792397139575,1.1344903643486082,0.1129862216926938,0.026892559546434,94.83187055020127,0.2154070847229799,0.0347555868426726,0.0936752969276789,2.1015964645551537,0.9219648353562132,0.7746923627249843,0.3940260384992656,0.8320706840713226,1.4900283680867812,1.096970798393409,39.782140183099,0.0968557474284909,1.0253190022697698,7.128992018875622,0.7478497046433947,0.8689434546434005,0.4948260766066201
